github.com/mcuadros/go-version,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/mcuadros/go-version/LICENSE,MIT
github.com/modern-go/concurrent,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/modern-go/concurrent/LICENSE,Apache-2.0
github.com/modern-go/reflect2,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/modern-go/reflect2/LICENSE,Apache-2.0
github.com/munnerz/goautoneg,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/munnerz/goautoneg/LICENSE,BSD-3-Clause
github.com/openshift/api,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/openshift/api/LICENSE,Apache-2.0
github.com/openshift/client-go,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/openshift/client-go/LICENSE,Apache-2.0
github.com/openshift/cluster-etcd-operator,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/LICENSE,Apache-2.0
github.com/openshift/library-go/pkg,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/openshift/library-go/LICENSE,Apache-2.0
github.com/pkg/errors,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/pkg/errors/LICENSE,BSD-2-Clause
github.com/pkg/profile,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/pkg/profile/LICENSE,BSD-2-Clause
github.com/prometheus/client_golang,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/prometheus/client_golang/LICENSE,Apache-2.0
github.com/prometheus/client_model/go,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/prometheus/client_model/LICENSE,Apache-2.0
github.com/prometheus/common,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/prometheus/common/LICENSE,Apache-2.0
github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg/README.txt,BSD-3-Clause
github.com/prometheus/procfs,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/prometheus/procfs/LICENSE,Apache-2.0
github.com/robfig/cron,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/robfig/cron/LICENSE,MIT
github.com/sirupsen/logrus,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/sirupsen/logrus/LICENSE,MIT
github.com/spf13/cobra,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/spf13/cobra/LICENSE.txt,Apache-2.0
github.com/spf13/pflag,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/spf13/pflag/LICENSE,BSD-3-Clause
github.com/vishvananda/netlink,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/vishvananda/netlink/LICENSE,Apache-2.0
github.com/vishvananda/netns,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/vishvananda/netns/LICENSE,Apache-2.0
github.com/xiang90/probing,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/github.com/xiang90/probing/LICENSE,MIT
go.etcd.io/bbolt,https://github.com/openshift/cluster-etcd-operator/blob/HEAD/vendor/go.etcd.io/bbolt/LICENSE,MIT
